track_id,direction_bin,direction_label,corridor_id,corridor_rank,point_index,lat,lon,time,cog
17,6,South,D06-C02,2,0,22.5367,113.732102,2020-01-01T10:14:58,161.8
17,6,South,D06-C02,2,1,22.48717,113.749933,2020-01-01T10:27:34,172.1
17,6,South,D06-C02,2,2,22.410068,113.759402,2020-01-01T10:46:22,173.8
17,6,South,D06-C02,2,3,22.357307,113.789325,2020-01-01T11:01:04,160.0
17,6,South,D06-C02,2,4,22.255475,113.811593,2020-01-01T11:26:10,168.3
17,6,South,D06-C02,2,5,22.220372,113.813525,2020-01-01T11:34:35,167.0
17,6,South,D06-C02,2,6,22.157055,113.834293,2020-01-01T11:51:24,154.6
21,6,South,D06-C02,2,0,22.53618,113.731857,2020-01-01T00:11:36,160.2
21,6,South,D06-C02,2,1,22.486818,113.749682,2020-01-01T00:24:07,169.6
21,6,South,D06-C02,2,2,22.401452,113.762065,2020-01-01T00:45:01,157.2
21,6,South,D06-C02,2,3,22.356253,113.788603,2020-01-01T00:57:33,153.9
21,6,South,D06-C02,2,4,22.25277,113.81199,2020-01-01T01:22:31,167.4
21,6,South,D06-C02,2,5,22.185937,113.820497,2020-01-01T01:37:13,174.0
21,6,South,D06-C02,2,6,22.161362,113.831537,2020-01-01T01:43:30,145.6
28,2,North,D02-C01,1,0,22.15675,113.790367,2020-01-01T16:38:03,338.0
28,2,North,D02-C01,1,1,22.17685,113.786717,2020-01-01T16:44:34,0.0
28,2,North,D02-C01,1,2,22.2671,113.806733,2020-01-01T17:07:46,12.0
28,2,North,D02-C01,1,3,22.308933,113.801083,2020-01-01T17:18:10,350.0
28,2,North,D02-C01,1,4,22.35125,113.791733,2020-01-01T17:28:34,349.0
28,2,North,D02-C01,1,5,22.405017,113.761983,2020-01-01T17:43:16,340.0
28,2,North,D02-C01,1,6,22.498417,113.745867,2020-01-01T18:06:16,344.0
28,2,North,D02-C01,1,7,22.6097,113.705833,2020-01-01T18:35:26,341.0
28,2,North,D02-C01,1,8,22.63515,113.689833,2020-01-01T18:48:27,326.0
29,6,South,D06-C02,2,0,22.494367,113.747533,2020-01-02T05:24:06,160.0
29,6,South,D06-C02,2,1,22.4094,113.759067,2020-01-02T05:45:06,173.0
29,6,South,D06-C02,2,2,22.349433,113.790633,2020-01-02T06:01:48,167.0
29,6,South,D06-C02,2,3,22.188317,113.819583,2020-01-02T06:41:35,169.0
29,6,South,D06-C02,2,4,22.158267,113.834633,2020-01-02T06:49:54,152.0
33,2,North,D02-C01,1,0,22.15635,113.792622,2020-01-02T18:13:43,342.5
33,2,North,D02-C01,1,1,22.182127,113.787208,2020-01-02T18:22:32,4.9
33,2,North,D02-C01,1,2,22.251267,113.805935,2020-01-02T18:39:22,5.0
33,2,North,D02-C01,1,3,22.287193,113.805048,2020-01-02T18:47:46,347.8
33,2,North,D02-C01,1,4,22.355705,113.789402,2020-01-02T19:04:34,343.5
33,2,North,D02-C01,1,5,22.401042,113.762903,2020-01-02T19:17:05,338.9
33,2,North,D02-C01,1,6,22.489778,113.748973,2020-01-02T19:38:04,346.0
33,2,North,D02-C01,1,7,22.544515,113.730145,2020-01-02T19:52:50,340.4
33,2,North,D02-C01,1,8,22.61214,113.704118,2020-01-02T20:20:20,340.9
33,2,North,D02-C01,1,9,22.633443,113.68485,2020-01-02T20:53:00,274.4
37,2,North,D02-C01,1,0,22.160632,113.78932,2020-01-01T14:00:18,343.0
37,2,North,D02-C01,1,1,22.178435,113.787043,2020-01-01T14:04:31,14.6
37,2,North,D02-C01,1,2,22.26253,113.809372,2020-01-01T14:23:12,2.9
37,2,North,D02-C01,1,3,22.312067,113.800508,2020-01-01T14:35:44,349.7
37,2,North,D02-C01,1,4,22.353855,113.789888,2020-01-01T14:46:16,350.8
37,2,North,D02-C01,1,5,22.40997,113.760208,2020-01-01T15:00:58,351.4
37,2,North,D02-C01,1,6,22.487322,113.750568,2020-01-01T15:19:34,347.7
37,2,North,D02-C01,1,7,22.585895,113.715338,2020-01-01T15:44:41,342.0
37,2,North,D02-C01,1,8,22.622577,113.698368,2020-01-01T15:59:32,321.3
37,2,North,D02-C01,1,9,22.624627,113.686728,2020-01-01T16:18:42,127.1
38,6,South,D06-C02,2,0,22.45907,113.752942,2020-01-02T03:01:23,172.5
38,6,South,D06-C02,2,1,22.409003,113.759522,2020-01-02T03:13:54,166.4
38,6,South,D06-C02,2,2,22.3541,113.788743,2020-01-02T03:28:54,166.8
38,6,South,D06-C02,2,3,22.277067,113.806158,2020-01-02T03:47:49,172.9
38,6,South,D06-C02,2,4,22.213402,113.813335,2020-01-02T04:02:23,167.3
38,6,South,D06-C02,2,5,22.16135,113.833168,2020-01-02T04:14:54,157.0
48,2,North,D02-C01,1,0,22.161683,113.842467,2020-01-02T21:36:03,338.2
48,2,North,D02-C01,1,1,22.248583,113.813667,2020-01-02T21:52:52,345.9
